COMPARED_WITH	AIM: To perform a systematic review of the efficacy of rabeprazole-based therapies in Helicobacter pylori eradication, and to conduct a meta-analysis comparing the efficacy of <o> Chemicals and Drugs </o> and other <s> Chemicals and Drugs </s> when co-prescribed with antibiotics.
USES	AIM: To perform a systematic review of the efficacy of <o> Chemicals and Drugs </o>-based <s> Procedures </s> in Helicobacter pylori eradication, and to conduct a meta-analysis comparing the efficacy of rabeprazole and other proton pump inhibitors when co-prescribed with antibiotics.
ADMINISTERED_TO	Low dose pramipexole is neuroprotective in the <s> Chemicals and Drugs </s> <o> Living Beings </o> model of Parkinson's disease, and downregulates the dopamine transporter via the D3 receptor.
INHIBITS	Low dose <s> Chemicals and Drugs </s> is neuroprotective in the MPTP mouse model of Parkinson's disease, and downregulates the <o> Genes and Molecular Sequences </o> via the D3 receptor.
INTERACTS_WITH	Low dose <s> Chemicals and Drugs </s> is neuroprotective in the MPTP mouse model of Parkinson's disease, and downregulates the dopamine transporter via the <o> Chemicals and Drugs </o>.
PREVENTS	Low dose <s> Chemicals and Drugs </s> is neuroprotective in the MPTP mouse model of <o> Disorders </o>, and downregulates the dopamine transporter via the D3 receptor.
PROCESS_OF	Low dose pramipexole is neuroprotective in the MPTP <o> Living Beings </o> model of <s> Disorders </s>, and downregulates the dopamine transporter via the D3 receptor.
INHIBITS	In recent studies, the <o> Chemicals and Drugs </o> expression was reduced by typical <s> Chemicals and Drugs </s>.
PROCESS_OF	The <s> Phenomena </s> of ray pattern variation in <o> Living Beings </o>.
AFFECTS	Since mRNAs of both GH and GH receptor were present in stem cells and B-cell precursors in bone marrow, <s> Chemicals and Drugs </s> may modulate <o> Anatomy </o> development in an autocrine or paracrine manner in bone marrows.
LOCATION_OF	Since <o> Chemicals and Drugs </o> of both GH and GH receptor were present in <s> Anatomy </s> and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
LOCATION_OF	Since mRNAs of both GH and GH receptor were present in stem cells and B-cell precursors in bone marrow, GH may modulate <o> Anatomy </o> development in an autocrine or paracrine manner in <s> Anatomy </s>.
PART_OF	Since <s> Chemicals and Drugs </s> of both <o> Chemicals and Drugs </o> and GH receptor were present in stem cells and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since <s> Chemicals and Drugs </s> of both GH and <o> Chemicals and Drugs </o> were present in stem cells and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since mRNAs of both GH and GH receptor were present in <s> Anatomy </s> and B-cell precursors in <o> Anatomy </o>, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since mRNAs of both GH and GH receptor were present in stem cells and <s> Anatomy </s> in <o> Anatomy </o>, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PROCESS_OF	Search and identification of spermatozoa and spermatids in the ejaculate of non-obstructive <s> Disorders </s> <o> Living Beings </o>.
INTERACTS_WITH	<s> Chemicals and Drugs </s>/<o> Genes and Molecular Sequences </o> engagement results in the cleavage of cytosolic Bid to truncated Bid (tBid), which translocates to mitochondria.
LOCATION_OF	TNFR1/Fas engagement results in the cleavage of cytosolic Bid to truncated Bid (<o> Chemicals and Drugs </o>), which translocates to <s> Anatomy </s>.
PART_OF	TNFR1/Fas engagement results in the cleavage of <o> Anatomy </o> <s> Chemicals and Drugs </s> to truncated Bid (tBid), which translocates to mitochondria.
INTERACTS_WITH	Cardiolipin-deficient yeast mitochondria did not exhibit any respiratory inhibition by tBid, proving the absolute requirement for <s> Chemicals and Drugs </s> for <o> Chemicals and Drugs </o> binding and activity.
PART_OF	Cardiolipin-deficient <o> Living Beings </o> <s> Anatomy </s> did not exhibit any respiratory inhibition by tBid, proving the absolute requirement for cardiolipin for tBid binding and activity.
AFFECTS	CONCLUSION(S): In contrast to the effects of <s> Chemicals and Drugs </s> to reduce chemotherapeutic destruction of <o> Anatomy </o>, GnRH antagonists do not protect the ovary from the damaging effects of cyclophosphamide.
DISRUPTS	CONCLUSION(S): In contrast to the effects of GnRH agonists to reduce <s> Procedures </s> destruction of <o> Anatomy </o>, GnRH antagonists do not protect the ovary from the damaging effects of cyclophosphamide.
DISRUPTS	CONCLUSION(S): In contrast to the effects of GnRH agonists to reduce chemotherapeutic destruction of primordial follicles, GnRH antagonists do not protect the <o> Anatomy </o> from the damaging effects of <s> Chemicals and Drugs </s>.
COEXISTS_WITH	Apyrase/<s> Chemicals and Drugs </s> hydrolyzes di- and triphosphorylated nucleosides in the presence of a bivalent <o> Chemicals and Drugs </o> with sequential release of orthophosphate.
INTERACTS_WITH	<s> Chemicals and Drugs </s>/ATP-diphosphohydrolase hydrolyzes di- and triphosphorylated <o> Chemicals and Drugs </o> in the presence of a bivalent ion with sequential release of orthophosphate.
ADMINISTERED_TO	BACKGROUND: Surgical relief of gastric outlet obstruction (GOO) or small bowel obstruction in <o> Living Beings </o> who had undergone major <s> Procedures </s> or palliative bypass surgery for malignancy is conventionally achieved at a laparotomy.
ADMINISTERED_TO	BACKGROUND: Surgical relief of gastric outlet obstruction (GOO) or small bowel obstruction in <o> Living Beings </o> who had undergone major resection or palliative <s> Procedures </s> for malignancy is conventionally achieved at a laparotomy.
PROCESS_OF	BACKGROUND: Surgical relief of <s> Disorders </s> (GOO) or small bowel obstruction in <o> Living Beings </o> who had undergone major resection or palliative bypass surgery for malignancy is conventionally achieved at a laparotomy.
PROCESS_OF	BACKGROUND: Surgical relief of gastric outlet obstruction (GOO) or <s> Disorders </s> in <o> Living Beings </o> who had undergone major resection or palliative bypass surgery for malignancy is conventionally achieved at a laparotomy.
