COMPARED_WITH	AIM: To perform a systematic review of the efficacy of rabeprazole-based therapies in Helicobacter pylori eradication, and to conduct a meta-analysis comparing the efficacy of <o> rabeprazole </o> and other <s> proton pump inhibitors </s> when co-prescribed with antibiotics.
USES	AIM: To perform a systematic review of the efficacy of <o> rabeprazole </o>-based <s> therapies </s> in Helicobacter pylori eradication, and to conduct a meta-analysis comparing the efficacy of rabeprazole and other proton pump inhibitors when co-prescribed with antibiotics.
ADMINISTERED_TO	Low dose pramipexole is neuroprotective in the <s> MPTP </s> <o> mouse </o> model of Parkinson's disease, and downregulates the dopamine transporter via the D3 receptor.
INHIBITS	Low dose <s> pramipexole </s> is neuroprotective in the MPTP mouse model of Parkinson's disease, and downregulates the <o> dopamine transporter </o> via the D3 receptor.
INTERACTS_WITH	Low dose <s> pramipexole </s> is neuroprotective in the MPTP mouse model of Parkinson's disease, and downregulates the dopamine transporter via the <o> D3 receptor </o>.
PREVENTS	Low dose <s> pramipexole </s> is neuroprotective in the MPTP mouse model of <o> Parkinson's disease </o>, and downregulates the dopamine transporter via the D3 receptor.
PROCESS_OF	Low dose pramipexole is neuroprotective in the MPTP <o> mouse </o> model of <s> Parkinson's disease </s>, and downregulates the dopamine transporter via the D3 receptor.
INHIBITS	In recent studies, the <o> BDNF </o> expression was reduced by typical <s> neuroleptics </s>.
PROCESS_OF	The <s> genetics </s> of ray pattern variation in <o> Caenorhabditis briggsae </o>.
AFFECTS	Since mRNAs of both GH and GH receptor were present in stem cells and B-cell precursors in bone marrow, <s> GH </s> may modulate <o> B-lymphoid precursors </o> development in an autocrine or paracrine manner in bone marrows.
LOCATION_OF	Since <o> mRNAs </o> of both GH and GH receptor were present in <s> stem cells </s> and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
LOCATION_OF	Since mRNAs of both GH and GH receptor were present in stem cells and B-cell precursors in bone marrow, GH may modulate <o> B-lymphoid precursors </o> development in an autocrine or paracrine manner in <s> bone marrows </s>.
PART_OF	Since <s> mRNAs </s> of both <o> GH </o> and GH receptor were present in stem cells and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since <s> mRNAs </s> of both GH and <o> GH receptor </o> were present in stem cells and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
