COMPARED_WITH	AIM: To perform a systematic review of the efficacy of rabeprazole-based therapies in Helicobacter pylori eradication, and to conduct a meta-analysis comparing the efficacy of <o> Pharmacologic Substance </o> and other <s> Pharmacologic Substance </s> when co-prescribed with antibiotics.
USES	AIM: To perform a systematic review of the efficacy of <o> Pharmacologic Substance </o>-based <s> Therapeutic or Preventive Procedure </s> in Helicobacter pylori eradication, and to conduct a meta-analysis comparing the efficacy of rabeprazole and other proton pump inhibitors when co-prescribed with antibiotics.
ADMINISTERED_TO	Low dose pramipexole is neuroprotective in the <s> Organic Chemical </s> <o> Mammal </o> model of Parkinson's disease, and downregulates the dopamine transporter via the D3 receptor.
INHIBITS	Low dose <s> Organic Chemical </s> is neuroprotective in the MPTP mouse model of Parkinson's disease, and downregulates the <o> Gene or Genome </o> via the D3 receptor.
INTERACTS_WITH	Low dose <s> Organic Chemical </s> is neuroprotective in the MPTP mouse model of Parkinson's disease, and downregulates the dopamine transporter via the <o> Amino Acid, Peptide, or Protein </o>.
PREVENTS	Low dose <s> Organic Chemical </s> is neuroprotective in the MPTP mouse model of <o> Disease or Syndrome </o>, and downregulates the dopamine transporter via the D3 receptor.
PROCESS_OF	Low dose pramipexole is neuroprotective in the MPTP <o> Mammal </o> model of <s> Disease or Syndrome </s>, and downregulates the dopamine transporter via the D3 receptor.
INHIBITS	In recent studies, the <o> Amino Acid, Peptide, or Protein </o> expression was reduced by typical <s> Pharmacologic Substance </s>.
PROCESS_OF	The <s> Biologic Function </s> of ray pattern variation in <o> Invertebrate </o>.
AFFECTS	Since mRNAs of both GH and GH receptor were present in stem cells and B-cell precursors in bone marrow, <s> Amino Acid, Peptide, or Protein </s> may modulate <o> Cell </o> development in an autocrine or paracrine manner in bone marrows.
LOCATION_OF	Since <o> Biologically Active Substance </o> of both GH and GH receptor were present in <s> Cell </s> and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
LOCATION_OF	Since mRNAs of both GH and GH receptor were present in stem cells and B-cell precursors in bone marrow, GH may modulate <o> Cell </o> development in an autocrine or paracrine manner in <s> Body Part, Organ, or Organ Component </s>.
PART_OF	Since <s> Biologically Active Substance </s> of both <o> Amino Acid, Peptide, or Protein </o> and GH receptor were present in stem cells and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since <s> Biologically Active Substance </s> of both GH and <o> Amino Acid, Peptide, or Protein </o> were present in stem cells and B-cell precursors in bone marrow, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since mRNAs of both GH and GH receptor were present in <s> Cell </s> and B-cell precursors in <o> Body Part, Organ, or Organ Component </o>, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PART_OF	Since mRNAs of both GH and GH receptor were present in stem cells and <s> Cell </s> in <o> Body Part, Organ, or Organ Component </o>, GH may modulate B-lymphoid precursors development in an autocrine or paracrine manner in bone marrows.
PROCESS_OF	Search and identification of spermatozoa and spermatids in the ejaculate of non-obstructive <s> Disease or Syndrome </s> <o> Human </o>.
INTERACTS_WITH	<s> Amino Acid, Peptide, or Protein </s>/<o> Gene or Genome </o> engagement results in the cleavage of cytosolic Bid to truncated Bid (tBid), which translocates to mitochondria.
LOCATION_OF	TNFR1/Fas engagement results in the cleavage of cytosolic Bid to truncated Bid (<o> Amino Acid, Peptide, or Protein </o>), which translocates to <s> Cell Component </s>.
PART_OF	TNFR1/Fas engagement results in the cleavage of <o> Cell Component </o> <s> Amino Acid, Peptide, or Protein </s> to truncated Bid (tBid), which translocates to mitochondria.
INTERACTS_WITH	Cardiolipin-deficient yeast mitochondria did not exhibit any respiratory inhibition by tBid, proving the absolute requirement for <s> Lipid </s> for <o> Amino Acid, Peptide, or Protein </o> binding and activity.
PART_OF	Cardiolipin-deficient <o> Fungus </o> <s> Cell Component </s> did not exhibit any respiratory inhibition by tBid, proving the absolute requirement for cardiolipin for tBid binding and activity.
AFFECTS	CONCLUSION(S): In contrast to the effects of <s> Pharmacologic Substance </s> to reduce chemotherapeutic destruction of <o> Embryonic Structure </o>, GnRH antagonists do not protect the ovary from the damaging effects of cyclophosphamide.
DISRUPTS	CONCLUSION(S): In contrast to the effects of GnRH agonists to reduce <s> Therapeutic or Preventive Procedure </s> destruction of <o> Embryonic Structure </o>, GnRH antagonists do not protect the ovary from the damaging effects of cyclophosphamide.
